feature_group,model_name,fold,accuracy,precision,recall,f1_score
tfidf_sparse,RandomForest,5,0.5,0.5,0.6129032258064516,0.5507246376811594
tfidf_sparse,ComplementNB,1,0.5388739946380697,0.55,0.41397849462365593,0.4723926380368098
tfidf_sparse,ComplementNB,2,0.5067024128686327,0.5063291139240507,0.43010752688172044,0.46511627906976744
tfidf_sparse,ComplementNB,3,0.5013404825737265,0.5031847133757962,0.42245989304812837,0.45930232558139533
tfidf_sparse,ComplementNB,4,0.5013404825737265,0.5033112582781457,0.40641711229946526,0.44970414201183434
tfidf_sparse,ComplementNB,5,0.4946236559139785,0.4928571428571429,0.3709677419354839,0.4233128834355828
tfidf_sparse,XGBoost,1,0.5093833780160858,0.5151515151515151,0.27419354838709675,0.35789473684210527
tfidf_sparse,XGBoost,2,0.4932975871313673,0.4945054945054945,0.7258064516129032,0.5882352941176471
tfidf_sparse,XGBoost,3,0.49865951742627346,0.5,0.27807486631016043,0.35738831615120276
tfidf_sparse,XGBoost,4,0.49865951742627346,0.5,0.27807486631016043,0.35738831615120276
tfidf_sparse,XGBoost,5,0.5241935483870968,0.5445544554455446,0.2956989247311828,0.3832752613240418
tfidf_dense,LogisticRegression,1,0.774798927613941,0.7428571428571429,0.8387096774193549,0.7878787878787878
tfidf_dense,LogisticRegression,2,0.8176943699731903,0.7657657657657657,0.9139784946236559,0.8333333333333334
tfidf_dense,LogisticRegression,3,0.8230563002680965,0.7951219512195122,0.8716577540106952,0.8316326530612245
tfidf_dense,LogisticRegression,4,0.8016085790884718,0.7783251231527094,0.8449197860962567,0.8102564102564103
tfidf_dense,LogisticRegression,5,0.8064516129032258,0.7794117647058824,0.8548387096774194,0.8153846153846154
tfidf_dense,LinearSVC,1,0.7801608579088471,0.7452830188679245,0.8494623655913979,0.7939698492462312
tfidf_dense,LinearSVC,2,0.8257372654155496,0.7713004484304933,0.9247311827956989,0.8410757946210269
tfidf_dense,LinearSVC,3,0.8310991957104558,0.803921568627451,0.8770053475935828,0.8388746803069054
tfidf_dense,LinearSVC,4,0.8042895442359249,0.7821782178217822,0.8449197860962567,0.8123393316195373
tfidf_dense,LinearSVC,5,0.803763440860215,0.7729468599033816,0.8602150537634409,0.8142493638676844
tfidf_dense,RandomForest,1,0.7479892761394102,0.7110091743119266,0.8333333333333334,0.7673267326732673
tfidf_dense,RandomForest,2,0.7828418230563002,0.7375565610859729,0.8763440860215054,0.800982800982801
tfidf_dense,RandomForest,3,0.8096514745308311,0.7843137254901961,0.8556149732620321,0.8184143222506394
tfidf_dense,RandomForest,4,0.7560321715817694,0.7526315789473684,0.7647058823529411,0.7586206896551724
tfidf_dense,RandomForest,5,0.793010752688172,0.7607655502392344,0.8548387096774194,0.8050632911392405
tfidf_dense,ComplementNB,1,,,,
tfidf_dense,ComplementNB,2,,,,
tfidf_dense,ComplementNB,3,,,,
tfidf_dense,ComplementNB,4,,,,
tfidf_dense,ComplementNB,5,,,,
tfidf_dense,XGBoost,1,0.646112600536193,0.6088709677419355,0.8118279569892473,0.695852534562212
tfidf_dense,XGBoost,2,0.6353887399463807,0.5961538461538461,0.8333333333333334,0.695067264573991
tfidf_dense,XGBoost,3,0.6916890080428955,0.6463414634146342,0.8502673796791443,0.7344110854503464
tfidf_dense,XGBoost,4,0.6541554959785523,0.6208333333333333,0.7967914438502673,0.6978922716627635
tfidf_dense,XGBoost,5,0.6666666666666666,0.62109375,0.8548387096774194,0.7194570135746606
