strategy,Avg Accuracy,Std Dev Acc,Avg Precision,Std Dev Prec,Avg Recall,Std Dev Rec,Avg F1-Score,Std Dev F1
Intermediate (Sem+Syn -> BiLSTM),0.974245438035112,0.008620425626610237,0.9764804803040097,0.012880474137338043,0.9721005117589557,0.017551571116059927,0.9741523972816661,0.008762031837485125
Baseline (Semantic -> Dense NN),0.9667329701057973,0.005609428256939424,0.9667490233088536,0.004398191030733122,0.9667241676729343,0.009665913167458311,0.9667170961503972,0.0057398533113687915
Late Fusion (Avg Prob),0.9640592118539019,0.011457696994134885,0.9625222383301002,0.007868334149145393,0.9656488988557299,0.015963590975920657,0.9640649171525479,0.011676620479338245
Early (TFIDF_Dense+Lex+Syn -> SVM),0.7226469486004209,0.03506868328452988,0.7741670510201185,0.025798611292728642,0.6310907940888966,0.10270390931668819,0.691084724031176,0.062319763926354264
Baseline (TF-IDF Sparse -> SVM),0.4973075038196546,0.02137645016751633,0.49641012663922446,0.021539227003209753,0.49058133517336555,0.12225015599443721,0.4880373520816649,0.06583537275750574
