strategy,Avg Accuracy,Std Dev Acc,Avg Precision,Std Dev Prec,Avg Recall,Std Dev Rec,Avg F1-Score,Std Dev F1
Intermediate (Sem+Syn -> BiLSTM),0.9789699570815451,0.010336132685658648,0.98193891709311,0.009609900990105273,0.9759656652360515,0.018359870932366875,0.9788560852620074,0.010468034154267522
Baseline (Semantic -> Dense NN),0.9789699570815451,0.011694786775483823,0.98356237323766,0.011115021676914251,0.9742489270386265,0.015769247271136343,0.9788441213205964,0.01177484974335233
Late Fusion (Avg Prob),0.9785407725321889,0.009716078474396404,0.9801947256977236,0.007135717060662925,0.9768240343347638,0.01565200217065275,0.978464138323147,0.00982931100018206
Early (TFIDF_Dense+Lex+Syn -> SVM),0.7042918454935622,0.028965982877934653,0.7568047838979567,0.027195752275839476,0.6017167381974249,0.056808213245576965,0.6694476168210333,0.042842374228676955
Baseline (TF-IDF Sparse -> SVM),0.5206008583690988,0.015219419078538307,0.5175104721058201,0.01299136722584328,0.6274678111587983,0.01855944060981942,0.5668959154160618,0.003933216591837787
